flow,head,power,rpm,efficiency
0.989211707,0.318875835,0.986825935,0.672286184,1.450767148
0.917752311,0.360729182,0.987366662,0.6765625,1.521793467
0.838041988,0.407831988,0.98820233,0.688774671,1.569743169
0.765277316,0.456209215,0.988743057,0.703248355,1.602606345
0.701883997,0.498754648,0.988104016,0.722615132,1.60796667
0.643645559,0.539543007,0.988988841,0.731949013,1.593708411
0.600281216,0.573366655,0.989136312,0.747327303,1.579277511
0.554980443,0.609324425,0.989775353,0.764679276,1.550661637
0.513853176,0.641469742,0.990021137,0.777220395,1.511117253
0.479817455,0.671835207,0.990512707,0.793379934,1.47708729
0.439536291,0.708668726,0.991250061,0.815707237,1.426205772
0.39923565,0.749902814,0.99272477,0.833388158,1.368777477
0.348788613,0.796767694,0.99498599,0.860567434,1.267664882
0.309417647,0.841311456,0.997050583,0.888404605,1.18498295
0.267637742,0.897474541,0.999754215,0.919407895,1.09044474
0.222308994,0.954149925,0.997886251,0.942146382,0.964761637
0.192296633,0.976727288,0.965786757,0.966611842,0.882655366
0.149417548,0.987978672,0.89480411,0.9765625,0.748770311
0.121704587,0.995158667,0.859755198,0.980139803,0.639369444
0.079806643,1,0.801455046,0.985320724,0.451946767
0.046569574,0.993499987,0.735142309,1,0.28564467
0,0.979745794,0.656540333,0.988610197,0
0.991004484,0.319639931,0.988349801,0.666159539,1.454632809
0.923323634,0.361611731,0.988251487,0.681455592,1.533403311
0.840240582,0.410131958,0.988939684,0.693914474,1.58155708
0.764667527,0.458225429,0.989087155,0.705016447,1.607846861
0.704571981,0.501661229,0.989283783,0.721422697,1.621595114
0.645459819,0.541838558,0.98933294,0.734169408,1.604442137
0.599557755,0.577004625,0.989578725,0.753865132,1.586672812
0.553338049,0.613829916,0.990512707,0.766365132,1.556345248
0.5198518,0.645604847,0.990512707,0.780509868,1.537848995
0.481786228,0.674817063,0.991250061,0.794120066,1.48862264
0.440367167,0.711745303,0.991053434,0.814638158,1.435389885
0.400472227,0.754075861,0.993118026,0.837582237,1.380110904
0.350819592,0.802168312,0.994543578,0.8671875,1.284259936
0.308208928,0.849442881,0.997787937,0.890008224,1.190881524
0.267251282,0.901882046,0.999459273,0.923190789,1.094540531
0.223519838,0.960830608,0.998426977,0.954975329,0.976279134
0.19227515,0.978118258,0.959937079,0.966529605,0.889199414
0.146931411,0.981196603,0.882711498,0.978988487,0.741274929
0.119282899,0.975142794,0.829425355,0.976480263,0.63649721
0.07894366,0.967373868,0.755689918,0.971217105,0.458664776
0.045969346,0.960130771,0.702747874,0.980139803,0.285053634
0,0.947618293,0.6234577,0.978412829,0
0.992814258,0.320140329,0.987415819,0.670106908,1.460951244
0.92401487,0.363834523,0.987464976,0.677179276,1.54521379
0.844117928,0.410640856,0.988104016,0.692722039,1.592172164
0.766511768,0.459251317,0.98933294,0.706866776,1.614931771
0.704919842,0.501946821,0.988792214,0.719572368,1.624126365
0.64803177,0.543524912,0.989431254,0.736348684,1.615688145
0.600365024,0.577942048,0.989136312,0.749958881,1.592102193
0.556517665,0.614761967,0.990316079,0.770148026,1.567976415
0.519514798,0.646396073,0.99095512,0.777960526,1.538048595
0.481764863,0.67565412,0.991151748,0.793832237,1.490550899
0.441500696,0.711815681,0.99095512,0.814679276,1.439369741
0.399488962,0.754657245,0.992872241,0.837828947,1.378124875
0.351936005,0.803557854,0.995280932,0.866324013,1.289622427
0.310153975,0.850907425,0.997198053,0.891282895,1.201173254
0.266613636,0.905401224,1,0.924547697,1.095597026
0.224778016,0.948868779,0.977633584,0.950082237,0.990173477
0.188378446,0.942883989,0.90787986,0.951069079,0.887949976
0.144309883,0.931881273,0.818266726,0.954029605,0.745914719
0.117002739,0.925872547,0.769060611,0.952425987,0.639313801
0.076556203,0.919021664,0.702305461,0.943626645,0.454681723
0.044853523,0.911779927,0.653590916,0.948766447,0.283993232
0,0.899486607,0.576906061,0.951439145,0
0.992827242,0.319764095,0.98756329,0.670682566,1.459035489
0.91950637,0.361531561,0.988104016,0.687047697,1.526953123
0.842604313,0.410046756,0.987858231,0.695148026,1.587412685
0.767222481,0.45854026,0.988497272,0.706455592,1.615290834
0.706128561,0.501786006,0.98884137,0.721957237,1.626309153
0.648624326,0.542928908,0.989037998,0.738240132,1.616034515
0.603385878,0.578527104,0.989529568,0.752837171,1.601096421
0.553896255,0.615207083,0.989922824,0.764925987,1.562340995
0.517640457,0.646771287,0.98982451,0.780550987,1.535140575
0.482391768,0.675643513,0.99046355,0.799342105,1.493504074
0.442138343,0.713598117,0.990807649,0.813363487,1.445273149
0.39719393,0.754376481,0.992380671,0.838980263,1.370376354
0.35220655,0.803679503,0.995870816,0.865666118,1.290044603
0.310383679,0.851639222,0.997542152,0.890953947,1.20268165
0.267017329,0.906337762,0.999262646,0.92290296,1.099201419
0.216241671,0.898845792,0.900850415,0.922245066,0.979262911
0.183859087,0.891694493,0.835717446,0.924095395,0.890367145
0.139949522,0.881319809,0.752052303,0.925986842,0.744362208
0.114248181,0.876365735,0.708745023,0.922203947,0.641168344
0.074928799,0.87007638,0.649510888,0.928042763,0.455561616
0.043761426,0.862262711,0.602565993,0.920682566,0.284219496
0,0.849315384,0.531337561,0.929070724,0
0.994040211,0.31997387,0.987759917,0.665707237,1.46148539
0.915862978,0.362780619,0.98771076,0.678042763,1.526765041
0.839242208,0.409994466,0.988448115,0.691652961,1.579933637
0.77158296,0.458684076,0.987956545,0.704317434,1.625870155
0.706203752,0.501938458,0.989136312,0.720353618,1.626491349
0.645054,0.542459585,0.988448115,0.735238487,1.606708138
0.6025635,0.577784836,0.988300644,0.751603618,1.598848423
0.555968076,0.615508043,0.990021137,0.765337171,1.568796205
0.516315823,0.646845609,0.990365236,0.781702303,1.530552012
0.483089496,0.675931281,0.990365236,0.797491776,1.496449837
0.441322575,0.712096717,0.991643317,0.813898026,1.438358183
0.397135972,0.754286723,0.992577299,0.836513158,1.369741969
0.351966105,0.803405879,0.995330089,0.863445724,1.289425114
0.310435262,0.851476298,0.997099739,0.891447368,1.203185023
0.260009589,0.857628024,0.920513199,0.897203947,1.099475914
0.212074422,0.848697689,0.825345328,0.898149671,0.989767127
0.179925909,0.842147834,0.769847122,0.899465461,0.89331569
0.136643131,0.832781222,0.692277442,0.898930921,0.746046608
0.109894195,0.827089708,0.651526324,0.894572368,0.633173617
0.071753432,0.820474098,0.596912943,0.899835526,0.447634928
0.042619045,0.814766468,0.551885169,0.898519737,0.285571949
0,0.803659036,0.492847663,0.899095395,0
1,0.320565998,0.987317505,0.665337171,1.473628556
0.914175375,0.361552096,0.986481837,0.673643092,1.520683101
0.845363239,0.410159769,0.98707172,0.693421053,1.594318625
0.767662648,0.458739223,0.988104016,0.705797697,1.617562353
0.703399854,0.501771386,0.988939684,0.72240954,1.619816324
0.645738863,0.543453514,0.987907388,0.737582237,1.612243011
0.603755104,0.578155086,0.988448115,0.752055921,1.602797657
0.55460685,0.615026955,0.989922824,0.765830592,1.5638873
0.51711235,0.647298613,0.990266922,0.780592105,1.534139051
0.481157198,0.675487593,0.990807649,0.798643092,1.488820785
0.442460471,0.712018043,0.990611021,0.815583882,1.443410074
0.398877166,0.754260816,0.992626456,0.835320724,1.375632052
0.350370808,0.803646388,0.99547756,0.865583882,1.283774803
0.302837209,0.812684976,0.929754707,0.872491776,1.201407922
0.25111901,0.806918528,0.841272182,0.870148026,1.093201351
0.204933653,0.798778399,0.756328958,0.87290296,0.982327437
0.174745295,0.792848823,0.703878484,0.871546053,0.89335814
0.131793145,0.783324388,0.634862115,0.871463816,0.738044364
0.107674235,0.778511614,0.596126432,0.874300987,0.638213407
0.069982256,0.773190893,0.549574792,0.872286184,0.446863906
0.041710971,0.767850862,0.513788527,0.877014803,0.282924255
0,0.755299692,0.461229907,0.870394737,0
0.991077432,0.320302301,0.988448115,0.668421053,1.45760946
0.915770672,0.36311857,0.988251487,0.677179276,1.527197219
0.838246077,0.410050564,0.988104016,0.691365132,1.578823891
0.767828021,0.458808037,0.988644743,0.703453947,1.617268484
0.704803928,0.501984628,0.988448115,0.723108553,1.624546951
0.646563365,0.543637313,0.989529568,0.736184211,1.612200255
0.603235496,0.578403959,0.989578725,0.748848684,1.60027716
0.554450212,0.614704916,0.989431254,0.766200658,1.563403307
0.517142332,0.646619107,0.990119451,0.782935855,1.532845706
0.482670812,0.675661124,0.990316079,0.799383224,1.494629495
0.442295098,0.712114261,0.990905963,0.815460526,1.442636043
0.398786984,0.754014799,0.992823084,0.836019737,1.374600156
0.343595015,0.764584434,0.924199971,0.845189145,1.290130867
0.293903663,0.761464202,0.845106425,0.8453125,1.201905984
0.244375441,0.755890936,0.76453817,0.841858553,1.09659165
0.197472997,0.748737597,0.689868751,0.842475329,0.97274341
0.167475627,0.742733835,0.642432286,0.844695724,0.878789529
0.127967264,0.734624918,0.579806322,0.844901316,0.735883399
0.103667991,0.729421358,0.545838863,0.844819079,0.628761752
0.068640389,0.72424425,0.502285799,0.841488487,0.449201609
0.039897419,0.719162611,0.461190582,0.843092105,0.282370217
0,0.709453425,0.416796933,0.840378289,0
0.998295517,0.320282445,0.984073146,0.67109375,1.474661312
0.918632528,0.363141213,0.987858231,0.679111842,1.53267526
0.841638282,0.410918425,0.988939684,0.693256579,1.587225754
0.768819785,0.458708964,0.988054859,0.702384868,1.619974319
0.7080801,0.502068266,0.989037998,0.723355263,1.631396757
0.644734115,0.542700094,0.989185469,0.73984375,1.605425771
0.604708387,0.578213088,0.989873667,0.752919408,1.603177281
0.556008917,0.615103521,0.989922824,0.764555921,1.56803605
0.518651697,0.647049876,0.990414393,0.784210526,1.537885595
0.483879531,0.676006691,0.990709335,0.795065789,1.498543662
0.439735895,0.71140946,0.991299218,0.814884868,1.432300688
0.387601254,0.714482365,0.916433171,0.816817434,1.371523639
0.331355196,0.714352216,0.835914074,0.816365132,1.285203666
0.284467743,0.711453047,0.764833112,0.815378289,1.200991683
0.23492878,0.706178225,0.692080814,0.815625,1.087980587
0.191716943,0.699280763,0.624539154,0.814679276,0.974271094
0.16175829,0.693760332,0.581674286,0.814226974,0.875635896
0.123714201,0.686113734,0.52617608,0.814226974,0.732170079
0.099975259,0.681552553,0.497271789,0.814802631,0.621907044
0.065988879,0.676359261,0.45485425,0.81796875,0.445351936
0.038536076,0.671585926,0.426190827,0.818914474,0.275608358
0,0.662148393,0.379319668,0.814432566,0
0.993164125,0.3196077,0.984712186,0.671833882,1.463040522
0.921442918,0.362285728,0.988104016,0.681866776,1.533360985
0.840860995,0.410414422,0.988792214,0.689473684,1.584051125
0.77283677,0.458584799,0.988939684,0.704769737,1.626541084
0.704093333,0.501957089,0.989431254,0.720600329,1.621207522
0.645427594,0.543237416,0.989627882,0.734621711,1.608024611
0.59952978,0.578333717,0.989971981,0.751356908,1.589621693
0.554725007,0.614821125,0.990119451,0.762828947,1.56338645
0.519117597,0.646726748,0.990856806,0.779605263,1.537811444
0.477127346,0.659045024,0.954578971,0.787047697,1.495081756
0.423844068,0.660885667,0.888266234,0.786225329,1.431253952
0.372299976,0.664217033,0.823084108,0.787088816,1.363597545
0.32073629,0.663397723,0.749299513,0.786348684,1.288825254
0.27381673,0.660876487,0.68746006,0.785608553,1.194703728
0.226718813,0.656334753,0.623359387,0.785855263,1.083432521
0.184251921,0.64963163,0.562650543,0.784375,0.965534629
0.155467637,0.644373944,0.525733668,0.783675987,0.864847612
0.118980129,0.637448399,0.476271936,0.785238487,0.722756303
0.096074188,0.633358105,0.44796736,0.785896382,0.616505697
0.063197847,0.628969775,0.413046257,0.790871711,0.436778021
0.037318503,0.624285178,0.37870029,0.784375,0.279215172
0,0.615063607,0.343435088,0.784046053,0
0.996161372,0.319859021,0.987759917,0.669202303,1.464078328
0.918435048,0.362792383,0.988251487,0.675945724,1.530264638
0.840448803,0.408409836,0.987612447,0.693050987,1.577423521
0.768888601,0.458956885,0.988890527,0.707195724,1.619625127
0.709014025,0.50176887,0.988890527,0.724794408,1.632817829
0.645122699,0.542501948,0.98884137,0.737294408,1.606365646
0.601986053,0.578474201,0.989971981,0.748149671,1.596522093
0.544138325,0.596616928,0.945288306,0.759457237,1.558719657
0.500299465,0.604826347,0.896278818,0.759210526,1.532304289
0.460554906,0.609016326,0.848940668,0.754564145,1.499548165
0.40870592,0.612399574,0.792557637,0.754728618,1.433317369
0.358166458,0.613420091,0.730718183,0.753207237,1.364647248
0.306585774,0.613804756,0.669861869,0.757277961,1.27504174
0.262665467,0.610896067,0.613577152,0.755797697,1.186939382
0.217766027,0.60639044,0.556063511,0.755674342,1.077818136
0.176488613,0.600446653,0.50307231,0.750822368,0.956066534
0.148943032,0.595412477,0.470058497,0.754152961,0.856275707
0.114280406,0.588802035,0.426254731,0.751809211,0.716472085
0.092995495,0.585122246,0.402246473,0.753947368,0.6139651
0.061089552,0.580589148,0.369581674,0.753330592,0.435564861
0.035776088,0.576574741,0.34715627,0.754728618,0.269681313
0,0.568870616,0.310121418,0.753577303,0
0.996365343,0.320523295,0.986039424,0.668174342,1.469979718
0.920090309,0.362319796,0.987858231,0.676274671,1.531635087
0.84190446,0.410419658,0.988743057,0.695353618,1.586115936
0.767276189,0.459031411,0.988644743,0.705427632,1.616892978
0.706993787,0.502151564,0.989873667,0.721011513,1.627788803
0.634463069,0.525317995,0.94214226,0.720847039,1.605608104
0.579801449,0.538292929,0.88816792,0.723396382,1.5948884
0.526181169,0.548763151,0.833898638,0.722779605,1.571572383
0.475418377,0.555384676,0.788969179,0.722532895,1.518928151
0.436152703,0.558651716,0.746939979,0.724013158,1.480544313
0.391830827,0.562284654,0.697979649,0.720929276,1.43264795
0.343728163,0.563669709,0.647151354,0.724259868,1.358818214
0.29353007,0.563128783,0.592095561,0.723478618,1.267056348
0.251331598,0.561268625,0.543233545,0.725411184,1.178578975
0.208851839,0.556651074,0.493683331,0.724013158,1.068809494
0.169751419,0.551040477,0.446728604,0.721710526,0.950343404
0.143839733,0.54693332,0.417047633,0.723889803,0.856160133
0.109136266,0.541009932,0.380101263,0.723972039,0.705021606
0.089068691,0.537753704,0.358781891,0.725945724,0.605906173
0.059114287,0.533198575,0.33031018,0.726809211,0.433098709
0.03425303,0.528798413,0.307860198,0.719777961,0.267031816
0,0.522353955,0.277196087,0.724259868,0
0.995227565,0.32010939,0.987170034,0.668174342,1.464725549
0.918512246,0.364031989,0.988448115,0.677672697,1.535316909
0.838402715,0.407010842,0.977879369,0.688157895,1.583801615
0.755090078,0.439347166,0.926067935,0.692598684,1.625889987
0.676543502,0.462004019,0.873371676,0.694942434,1.624313252
0.605835541,0.479194023,0.821019515,0.69140625,1.604870783
0.55613758,0.490756363,0.773877992,0.695805921,1.600674758
0.499382774,0.500610998,0.729096004,0.693503289,1.556240225
0.455318578,0.506021,0.687410903,0.695970395,1.521230083
0.418004442,0.509432808,0.652656934,0.692557566,1.480847245
0.376209546,0.51178568,0.60762916,0.692475329,1.438158473
0.32666409,0.513864656,0.565550804,0.691776316,1.347118902
0.280787877,0.513731652,0.518409281,0.692886513,1.262901038
0.240905921,0.51164948,0.476365335,0.691858553,1.174376283
